config,lag_tau_s,controller,perturbed,rms_cm,max_cm,crashed,crash_time,solve_ms_mean,solve_ms_max,residual_vz_mean,residual_vz_std,thrust_correction_mean,thrust_correction_max_abs,elapsed_s
baseline,0.0,nominal,False,1.6461179192978515,1.6800705637895839,False,,4.1767144203186035,312.6335144042969,nan,nan,nan,nan,6.473100185394287
nominal_perturbed,0.0,nominal,True,1.6461179192978515,1.6800705637895839,False,,4.237207412719727,75.79994201660156,nan,nan,nan,nan,6.579261779785156
ff_residual_perturbed,0.0,ff_residual,True,1.6425075426339257,1.6768322096702284,False,,4.089555422465007,68.51363182067871,0.0002773709444084002,0.002749915365026772,-0.03671034760623501,5.0,6.316875696182251
nominal_perturbed,0.02,nominal,True,1.6461020008883456,1.6800375052776126,False,,3.996765613555908,71.42877578735352,nan,nan,nan,nan,6.193091630935669
ff_residual_perturbed,0.02,ff_residual,True,1.6424834489982105,1.6767987431371947,False,,4.0320281982421875,68.66860389709473,0.0005554608579783667,0.003776162140823344,-0.07353367782141439,5.0,6.237062454223633
nominal_perturbed,0.04,nominal,True,1.6460979126596327,1.6799720424877176,False,,4.08717409769694,67.86322593688965,nan,nan,nan,nan,6.327136516571045
ff_residual_perturbed,0.04,ff_residual,True,1.6428706949244107,1.6767327626651143,False,,4.146723588307698,68.16768646240234,0.0016128579628530947,0.007383253925565443,-0.2133648942571868,5.0,6.401647090911865
nominal_perturbed,0.041,nominal,True,1.6460989283645897,1.6800784594489944,False,,4.107998212178548,67.78597831726074,nan,nan,nan,nan,6.360031604766846
ff_residual_perturbed,0.041,ff_residual,True,1.6431290918083727,1.6795081429622192,False,,4.168112754821777,68.02582740783691,0.0015868493132220726,0.007687677422361324,-0.20990553991745464,5.0,6.434333086013794
nominal_perturbed,0.042,nominal,True,1.6461047806130922,1.6897151670475008,False,,4.134054819742839,68.31836700439453,nan,nan,nan,nan,6.401194334030151
ff_residual_perturbed,0.042,ff_residual,True,1.6432470954423857,1.6871990515566437,False,,4.183716297149658,68.21393966674805,0.0015717601279207798,0.008837761373269928,-0.20789462442389534,5.0,6.458782196044922
nominal_perturbed,0.043,nominal,True,1.6541413918220713,1.7707460045477463,False,,4.132284800211589,68.11094284057617,nan,nan,nan,nan,6.395685434341431
ff_residual_perturbed,0.043,ff_residual,True,1.975372746469913,3.108692963353125,False,,4.205955346425374,67.95263290405273,0.007267469855902839,0.01571072506066039,-0.9625686897652062,5.0,6.491365432739258
nominal_perturbed,0.044,nominal,True,3.1731672934457875,3.7444279336553525,False,,4.163739363352458,68.52531433105469,nan,nan,nan,nan,6.442401647567749
ff_residual_perturbed,0.044,ff_residual,True,4.598052036425222,6.253152203584822,False,,4.361090501149495,68.61543655395508,0.025227147085500178,0.013536202404395048,-3.3422088079800774,5.0,6.721497058868408
nominal_perturbed,0.045,nominal,True,5.138901129903133,5.507134546650469,False,,4.206790765126546,67.72947311401367,nan,nan,nan,nan,6.507168531417847
ff_residual_perturbed,0.045,ff_residual,True,6.650539298903217,7.6569425525334855,False,,4.783142884572347,68.23205947875977,0.028003522240836427,0.011054724627123048,-3.710043615938699,5.0,7.356136083602905
nominal_perturbed,0.046,nominal,True,6.791470443381617,7.330740665313744,False,,4.558848063151042,67.59977340698242,nan,nan,nan,nan,7.033974647521973
ff_residual_perturbed,0.046,ff_residual,True,8.394100616360427,9.277695215816033,False,,5.100604057312012,68.11285018920898,0.030163981383544345,0.010019711232832648,-3.9962456348858906,5.0,7.830495834350586
nominal_perturbed,0.047,nominal,True,8.261976496894194,9.021915313017983,False,,5.117642084757487,67.91901588439941,nan,nan,nan,nan,7.872406482696533
ff_residual_perturbed,0.047,ff_residual,True,10.015112578486653,10.913319051957737,False,,5.3188850084940595,69.4575309753418,0.031012092093922822,0.010299041086854782,-4.108523335244815,5.0,8.162300109863281
nominal_perturbed,0.048,nominal,True,9.733822749398499,10.480903296813295,False,,5.22996187210083,67.90852546691895,nan,nan,nan,nan,8.04068398475647
ff_residual_perturbed,0.048,ff_residual,True,12.08996830942883,13.894035032490429,False,,5.368666013081868,67.84915924072266,0.03504437298097743,0.010559125512499564,-4.636772021815606,5.0,8.234564781188965
nominal_perturbed,0.049,nominal,True,11.084266600558927,11.564633785886516,False,,5.34535566965739,68.22943687438965,nan,nan,nan,nan,8.21554684638977
ff_residual_perturbed,0.049,ff_residual,True,12.757790270234725,17.91661007550483,False,,5.396617889404297,68.19748878479004,0.03293467807717631,0.013578337242129486,-4.356403638952241,5.0,8.277556657791138
